Frame,ID,X_Coordinate,Y_Coordinate
2,1,255.96203317008639,807.1490272515939
2,2,402.71051823730613,754.0778698492261
2,3,351.89759740903196,609.17563316684
2,4,577.9767785181591,347.3332117544402
2,5,1040.2262371214854,180.8663745271756
2,6,1010.5028436486102,159.98688746046096
2,7,664.5684429923703,971.7409765613218
3,1,256.010259589159,800.6385891674918
3,2,405.30516400082524,748.5450047017598
3,3,355.64617203446636,603.7698457646134
3,4,580.4698027579011,343.5348732553221
3,5,1039.0104944947932,182.03467409245826
3,6,1008.8882930557913,157.75354524291433
3,7,641.2392095864801,972.9135451732003
4,1,255.68054191834867,797.0619241608235
4,2,410.3486024542724,737.0537053145144
4,3,359.54871404826645,596.7265043424113
4,4,582.8102361346573,340.7859885732197
4,5,1038.6134328737714,184.97661840910595
4,6,1009.3954870848354,157.2851272997404
4,7,646.2520251306443,963.8757573397594
5,1,255.3259608701617,791.6361656766601
5,2,413.86702711627413,731.2990329828158
5,3,363.7837564152993,591.0514708641479
5,4,585.1782746093754,337.6617592458633
5,5,1038.2780633183884,186.9657028275492
5,6,1010.1733107628511,158.29160934096166
5,7,652.6209476392726,952.4592472621586
6,1,253.83940452538258,786.4921838407549
6,2,415.81052001164653,726.3253972391257
6,3,366.0489421103665,586.329303809073
6,4,588.9691233929016,334.0220946239487
6,5,1037.83432887361,187.47997785520874
6,6,1008.7359545836425,158.32779765849824
6,7,661.9563893743293,946.893804163651
7,1,248.607181327634,780.6745723086567
7,2,417.16532354022826,715.4928616281759
7,3,369.5798457488552,574.8513308687354
7,4,592.3395114058802,331.74230779989307
7,5,1037.171930370677,187.61246676518158
7,6,1008.7582789328033,163.11352741971365
7,7,688.074952118291,932.2263812106992
8,1,239.52110185545445,777.318391232305
8,2,418.17281241641365,709.6171628630038
8,3,371.3414222717388,569.8295376608185
8,4,594.840283142638,328.77059121558955
8,5,1035.0810443828752,183.4782199031709
8,7,677.3244784862663,929.746446639761
9,1,235.6058119147444,773.6917521983958
9,2,418.9812676563047,704.4325583171044
9,3,373.71681053057614,566.7733262833865
9,4,598.8381300183285,326.5417912929353
9,5,1034.434036803841,184.8949098118332
9,7,693.9261920350473,917.77918601803
10,1,229.86710172322165,770.0935994075516
10,2,420.3025201672965,695.7840796794823
10,3,375.38507989032803,563.0135853307409
10,4,603.4053725794406,322.582375022979
10,5,1034.3312403557813,186.2372343472457
10,7,703.9415299739359,907.7148250202041
10,8,1607.2327526466452,1025.575385255646
11,1,226.08760834334817,764.9736782976454
11,2,420.98703190651054,689.5903249305204
11,3,376.7315572614456,560.5723942797183
11,4,608.5773447300248,319.2939549016447
11,5,1031.4766953218893,183.02269177534632
11,7,705.0001760365062,896.9016952224729
11,8,1607.2295370314946,1021.7468454540501
12,1,223.62736969146843,761.8705171024889
12,2,421.3492996619967,684.5615620650406
12,3,380.6735901712772,556.5019439820594
12,4,612.1367977277565,317.21912837732236
12,5,1031.3580793426224,184.94787636140722
12,7,709.4533720382693,891.092208486052
12,8,1607.0285680919615,1018.688549154986
13,1,215.71660055666808,758.5608354569863
13,2,420.0776029098847,679.3008034220909
13,3,384.04706139049614,547.8870521179907
13,4,616.899179518571,314.4976054907928
13,5,1030.54525992649,181.16914732880514
13,7,709.6805089208881,887.2965087972307
13,8,1606.6839143694137,1014.0361804110871
13,10,62.33764420363471,688.0231009329518
14,1,210.26259347856794,755.2121895564138
14,2,419.70992599926126,671.9895325655543
14,3,387.1432285881217,543.2731194982359
14,4,620.6057396444537,312.0085627314943
14,5,1029.9808670923176,182.71097679846005
14,7,714.4869249668131,874.7628845206607
14,8,1606.5521481162923,1012.4972342620226
14,10,68.98198704475556,682.335620344
15,1,206.12020299404068,753.8050253700779
15,2,418.6327782918001,666.99448890346
15,3,393.54109177588316,541.5645069552085
15,4,624.6904705060067,308.31039600638303
15,5,1031.435573771043,184.61169002037533
15,7,717.8188066546736,869.3838581264961
15,8,1606.070138710881,1011.7860638257267
15,10,75.44648177700572,678.3028669534372
15,11,998.0153912920141,166.0398083063792
16,1,203.12118736367205,751.5948234333651
16,2,417.64460950683497,662.4957205320061
16,3,396.995423467524,537.6059818424188
