Frame,ID,X_Coordinate,Y_Coordinate
1,1,255.60328674316406,814.0386962890625
1,2,398.01348876953125,761.197509765625
1,3,348.6171569824219,613.2537231445312
1,4,574.825439453125,351.0339660644531
1,5,1041.2913818359375,179.45404052734375
1,6,1012.064697265625,162.99093627929688
1,7,662.6881103515625,978.7655029296875
2,1,255.91604614257812,808.0321655273438
2,2,402.1025085449219,754.99951171875
2,3,351.4783630371094,609.69677734375
2,4,577.598388671875,347.777587890625
2,5,1040.3544921875,180.69622802734375
2,6,1010.6329345703125,160.23715209960938
2,7,664.3966064453125,972.3828125
3,1,255.96859741210938,801.8342895507812
3,2,404.8277587890625,749.5831298828125
3,3,354.9207763671875,604.8084716796875
3,4,579.98291015625,344.2749328613281
3,5,1039.2081298828125,181.85243225097656
3,6,1008.9566040039062,158.15615844726562
3,7,645.247314453125,972.6891479492188
4,1,255.7469482421875,797.3956909179688
4,2,409.4873352050781,739.1639404296875
4,3,358.90576171875,597.9695434570312
4,4,582.490478515625,341.1689453125
4,5,1038.605712890625,184.47781372070312
4,6,1009.1666259765625,157.36233520507812
5,1,255.4180908203125,792.1341552734375
5,2,413.464599609375,731.8546142578125
5,3,363.2083740234375,591.7940673828125
5,4,584.9603271484375,337.95001220703125
5,5,1038.2137451171875,186.7222442626953
5,6,1009.934326171875,158.1867218017578
5,8,652.7493896484375,953.8486328125
6,1,254.21820068359375,786.8895874023438
6,2,415.981689453125,726.1887817382812
6,3,366.0604248046875,586.580810546875
6,4,588.4661865234375,334.36541748046875
6,5,1037.785888671875,187.6916046142578
6,6,1008.8341064453125,158.23313903808594
6,8,660.656005859375,948.64892578125
7,1,250.01226806640625,781.1710205078125
7,2,417.664306640625,716.8076171875
7,3,369.43402099609375,576.732666015625
7,4,591.9081420898438,331.7132568359375
7,5,1037.189697265625,188.0181884765625
7,6,1008.6796264648438,161.98348999023438
8,1,241.84835815429688,777.1575927734375
8,2,418.78460693359375,709.767822265625
8,3,371.6157531738281,570.17236328125
8,4,594.7017822265625,328.79931640625
8,5,1035.4844970703125,184.97531127929688
8,8,674.449951171875,931.9036254882812
9,1,236.76246643066406,773.4002685546875
9,2,419.6313781738281,704.025390625
9,3,373.9383850097656,566.1324462890625
9,4,598.48583984375,326.44146728515625
9,5,1034.541015625,185.10894775390625
9,8,690.7724609375,919.8040771484375
10,1,231.09066772460938,769.7514038085938
10,2,420.7579345703125,696.2611083984375
10,3,375.803955078125,562.2493286132812
10,4,602.8690185546875,322.842041015625
10,5,1034.1776123046875,186.021728515625
10,8,702.4622802734375,909.1861572265625
11,1,226.63519287109375,765.0723876953125
11,2,421.4991455078125,689.5640869140625
11,3,377.26275634765625,559.4501342773438
11,4,607.9366455078125,319.45391845703125
11,5,1031.99462890625,183.91635131835938
11,8,706.8165283203125,898.244384765625
11,10,1607.162841796875,1022.40966796875
12,1,223.5577392578125,761.5557861328125
12,2,421.94683837890625,684.0264892578125
12,3,380.407470703125,555.838134765625
12,4,611.875732421875,317.05938720703125
12,5,1031.3115234375,184.71859741210938
12,8,711.2999267578125,890.7565307617188
12,10,1607.01220703125,1019.5866088867188
13,1,216.75839233398438,758.23291015625
13,2,421.1539306640625,678.7183837890625
13,3,383.73480224609375,548.7635498046875
13,4,616.4833374023438,314.40478515625
13,5,1030.5250244140625,182.1558837890625
13,8,712.6929931640625,885.78271484375
13,10,1606.7200927734375,1015.0076293945312
14,1,211.00772094726562,754.91064453125
14,2,420.59210205078125,672.0714111328125
14,3,386.9383544921875,543.4282836914062
14,4,620.4614868164062,311.8697509765625
14,5,1029.89599609375,182.52796936035156
14,8,716.212646484375,875.7291259765625
14,10,1606.5616455078125,1012.5903930664062
14,12,67.7158203125,683.278564453125
15,1,206.40872192382812,753.08984375
15,2,419.55926513671875,666.5772094726562
15,3,392.3515625,540.5786743164062
15,4,624.5250244140625,308.4906921386719
15,5,1030.709716796875,183.93402099609375
15,8,719.461669921875,868.8631591796875
15,10,1606.1470947265625,1011.3907470703125
15,12,73.32618713378906,679.7000732421875
16,1,202.98922729492188,750.9663696289062
16,2,418.507568359375,661.7830810546875
16,3,396.4692687988281,536.992919921875
16,4,629.023681640625,305.5413818359375
16,5,1031.664794921875,185.06951904296875
16,8,722.669189453125,863.085693359375
16,10,1605.67919921875,1009.8302001953125
16,13,997.3487548828125,166.29966735839844
17,1,201.6329345703125,749.5032958984375
17,2,416.24652099609375,657.55615234375
17,3,399.43780517578125,532.2039184570312
17,4,633.5243530273438,302.62652587890625
17,5,1030.806884765625,184.7127227783203
17,8,727.588134765625,855.225341796875
17,10,1605.34033203125,1008.463134765625
17,13,997.2500610351562,165.05203247070312
18,1,199.5989532470703,747.9043579101562
18,2,413.88140869140625,653.7528686523438
18,3,403.6836853027344,528.818115234375
18,4,637.2886962890625,298.8631591796875
18,5,1030.8045654296875,184.94082641601562
18,8,732.5243530273438,846.67333984375
18,10,1604.755126953125,1006.6251831054688
18,13,996.2678833007812,164.2484893798828
19,1,202.42782592773438,745.007568359375
19,2,411.7680969238281,649.1260986328125
19,3,408.0193786621094,522.535888671875
19,4,641.8509521484375,295.9747009277344
19,5,1030.4427490234375,184.8524932861328
19,8,736.7088623046875,840.9850463867188
19,10,1603.936279296875,1004.6800537109375
19,13,997.423095703125,164.38296508789062
19,15,46.303314208984375,673.7332763671875
19,16,106.21588134765625,647.197021484375
20,1,198.15301513671875,741.1121215820312
20,2,409.1079406738281,644.31884765625
20,3,412.79290771484375,517.78125
20,4,645.557861328125,293.2945861816406
20,5,1029.473388671875,184.2747039794922
20,8,740.8916015625,831.058349609375
20,10,1603.6173095703125,1004.6611328125
20,13,997.6078491210938,163.63238525390625
21,1,194.20388793945312,738.09619140625
21,2,405.5291748046875,641.026611328125
21,3,416.48895263671875,513.420654296875
21,4,649.5994873046875,289.9876403808594
21,5,1028.932373046875,183.3882293701172
21,8,745.592529296875,823.5254516601562
21,10,1602.0609130859375,1003.5571899414062
21,13,997.809326171875,163.82225036621094
22,1,190.91510009765625,735.4716796875
22,2,401.6340026855469,637.6235961914062
22,3,421.0426025390625,509.126708984375
22,4,653.988525390625,285.749755859375
22,5,1028.3994140625,182.99835205078125
22,8,751.4559326171875,819.189208984375
22,10,1600.4852294921875,1003.2409057617188
22,13,998.710693359375,163.37913513183594
22,18,153.28012084960938,619.7337646484375
23,1,188.45411682128906,733.083251953125
23,2,398.68878173828125,634.7620849609375
23,3,426.915283203125,503.3198547363281
23,4,657.4212646484375,282.8268127441406
23,5,1028.902587890625,183.09951782226562
23,8,755.598388671875,811.3173217773438
23,10,1598.615478515625,1002.619873046875
23,13,1000.1273193359375,163.30078125
23,18,156.49623107910156,617.5181884765625
24,1,187.49949645996094,730.65380859375
24,2,396.415771484375,632.8150634765625
24,3,432.70428466796875,497.40985107421875
24,4,661.1890869140625,280.156982421875
24,5,1029.6925048828125,182.87762451171875
24,8,760.7543334960938,804.736572265625
24,10,1597.2578125,1002.2149658203125
24,13,1000.8218383789062,164.2906494140625
24,18,169.34945678710938,604.13037109375
25,1,186.2715606689453,728.8024291992188
25,2,392.79937744140625,631.0692138671875
25,3,438.213623046875,492.4609069824219
25,4,664.5003662109375,276.3539733886719
25,5,1030.5732421875,181.92703247070312
25,8,767.2762451171875,797.8533325195312
25,10,1596.3994140625,1002.0513916015625
25,13,1000.9324951171875,165.46066284179688
25,18,175.25917053222656,597.0183715820312
26,1,184.17105102539062,726.2918701171875
26,2,389.3719787597656,628.96630859375
26,3,443.1541748046875,488.5320129394531
26,4,668.283447265625,272.3135681152344
26,5,1031.7142333984375,180.0824737548828
26,8,772.5784912109375,789.4232177734375
26,10,1595.6734619140625,1001.989990234375
