Frame,ID,X_Coordinate,Y_Coordinate
1,7,662.6880798339844,978.7655029296875
1,6,1012.0647277832031,162.9909324645996
1,5,1041.2913513183594,179.45404815673828
1,4,574.825439453125,351.0339660644531
1,3,348.6171569824219,613.2537231445312
1,2,398.0134735107422,761.1975402832031
1,1,255.60328674316406,814.0386657714844
2,7,664.656982421875,971.4102172851562
2,6,1010.414794921875,159.8175392150879
2,5,1040.2117919921875,180.88552856445312
2,4,578.0209350585938,347.28135681152344
2,3,351.91436767578125,609.15478515625
2,2,402.72557067871094,754.0550537109375
2,1,255.96370697021484,807.1168823242188
3,7,639.4574890136719,973.229736328125
3,6,1008.5928649902344,157.76797103881836
3,5,1038.9677124023438,182.076416015625
3,4,580.474365234375,343.4976348876953
3,3,355.6881408691406,603.685302734375
3,2,405.3035125732422,748.5128173828125
3,1,255.96268463134766,800.5445251464844
4,7,647.8135986328125,963.068603515625
4,6,1009.4829406738281,157.49281311035156
4,5,1038.6088256835938,185.0373764038086
4,4,582.8132934570312,340.8263854980469
4,3,359.5835418701172,596.614013671875
4,2,410.4085235595703,736.8885498046875
4,1,255.66080474853516,797.091796875
5,7,653.9832458496094,951.5436401367188
5,6,1010.3594970703125,158.82755661010742
5,5,1038.2797546386719,186.98577117919922
5,4,585.1963500976562,337.6475830078125
5,3,363.81890869140625,591.033203125
5,2,413.8708190917969,731.320068359375
5,1,255.31563568115234,791.616943359375
6,7,663.1615295410156,947.0012512207031
6,6,1008.4489440917969,158.46272659301758
6,5,1037.8258666992188,187.46096801757812
6,4,589.0430603027344,333.9886779785156
6,3,365.9810485839844,586.3568115234375
6,2,415.76658630371094,726.3689575195312
6,1,253.79718017578125,786.4842529296875
7,7,691.5339050292969,931.0454711914062
7,6,1008.7658996582031,163.72865295410156
7,5,1037.1581420898438,187.5787582397461
7,4,592.367431640625,331.7850646972656
7,3,369.58692932128906,574.585693359375
7,2,417.12547302246094,715.3936157226562
7,1,248.3947982788086,780.6346435546875
8,7,675.2971801757812,930.3687744140625
8,5,1034.9989013671875,183.21269989013672
8,4,594.801513671875,328.7449645996094
8,3,371.2778015136719,569.8791198730469
8,2,418.1430358886719,709.6358642578125
8,1,238.7880630493164,777.4566955566406
9,7,694.7921752929688,917.4600219726562
9,5,1034.4501342773438,184.98145294189453
9,4,599.024169921875,326.6488037109375
9,3,373.7007293701172,566.8964538574219
9,2,418.94146728515625,704.4830017089844
9,1,235.52950286865234,773.7748718261719
10,7,704.2620849609375,907.5444030761719
10,5,1034.3815002441406,186.2911605834961
10,4,603.5992126464844,322.44573974609375
10,3,375.3607177734375,563.0528564453125
10,2,420.2864685058594,695.7196044921875
10,1,229.72002410888672,770.1344604492188
11,7,704.6035766601562,896.6597290039062
11,6,1607.155517578125,1021.6836547851562
11,5,1031.303466796875,182.71178436279297
11,4,608.9251098632812,319.2010192871094
11,3,376.6938171386719,560.6468963623047
11,2,420.95811462402344,689.6002807617188
11,1,226.05831909179688,764.9060668945312
12,7,709.4100952148438,891.2040710449219
12,6,1606.9652709960938,1018.7099304199219
12,5,1031.4380493164062,185.09117126464844
12,4,612.1734008789062,317.3219909667969
12,3,380.7556457519531,556.5284729003906
12,2,421.3175354003906,684.6011962890625
12,1,223.71615600585938,761.9664916992188
13,7,709.4672241210938,887.47998046875
13,6,1606.6468505859375,1013.9277954101562
13,5,1030.5787353515625,180.81459045410156
13,4,617.0665283203125,314.5079650878906
13,3,384.127685546875,547.5798492431641
13,2,419.9934997558594,679.3399047851562
13,1,215.0859832763672,758.6898498535156
14,8,68.74214172363281,682.25244140625
14,7,714.504638671875,874.57177734375
14,6,1606.5589599609375,1012.6315612792969
14,5,1030.0316162109375,182.81290435791016
14,4,620.667236328125,312.01959228515625
14,3,387.1980438232422,543.2905883789062
14,2,419.68304443359375,671.9566955566406
14,1,210.05461883544922,755.3122863769531
15,8,75.12943077087402,678.5499572753906
15,7,717.74853515625,869.5204467773438
15,6,1606.028564453125,1011.9767761230469
15,5,1031.5584716796875,184.70045471191406
15,4,624.7509155273438,308.2017517089844
15,3,393.7092590332031,541.7030639648438
15,2,418.59312438964844,667.0205383300781
15,1,206.14212799072266,754.1831359863281
16,7,721.14599609375,864.2405090332031
16,6,1605.56103515625,1010.1295166015625
16,5,1032.4628295898438,185.59441375732422
16,4,629.444091796875,305.5023651123047
16,3,397.0355682373047,537.6396636962891
16,2,417.6159210205078,662.5303344726562
16,1,203.34398651123047,751.7886352539062
17,9,997.219482421875,164.66527938842773
17,7,727.1531982421875,855.1484985351562
17,6,1605.2999267578125,1008.8158874511719
17,5,1030.621337890625,184.44353485107422
17,4,633.8956604003906,302.6095733642578
17,3,399.33331298828125,532.1420288085938
17,2,414.8358917236328,658.5136413574219
17,1,202.98206329345703,750.5589294433594
18,9,996.0084228515625,164.18365859985352
18,7,732.1421203613281,846.2422180175781
18,6,1604.5980834960938,1006.6972045898438
18,5,1031.0718383789062,184.99264526367188
18,4,637.2442016601562,298.4142761230469
18,3,404.2496643066406,529.4858093261719
18,2,412.5562286376953,654.8347473144531
18,1,200.4567108154297,748.7756042480469
19,9,997.93896484375,164.64493560791016
19,8,108.96419525146484,646.3752136230469
19,7,735.9853210449219,842.0853881835938
19,6,1603.6818237304688,1004.6886901855469
19,5,1030.494140625,184.73819732666016
19,4,642.2246704101562,296.02491760253906
19,3,408.5723419189453,521.6378784179688
19,2,410.7197723388672,649.6610412597656
19,1,205.6386260986328,745.1184997558594
20,9,997.65380859375,163.49942779541016
20,8,118.5533332824707,631.8418579101562
20,7,740.2620849609375,829.8745727539062
20,6,1603.6497802734375,1005.6584777832031
20,5,1029.2129821777344,183.9275131225586
20,4,645.448486328125,293.4446334838867
20,3,413.51512145996094,517.7696685791016
20,2,407.93251037597656,644.6878662109375
20,1,197.39850616455078,740.7012939453125
21,9,997.8521728515625,164.10522842407227
21,8,144.37570571899414,625.7991943359375
21,7,745.2940673828125,823.6866760253906
21,6,1601.4232177734375,1003.8861694335938
21,5,1028.9173889160156,182.91818237304688
21,4,649.672119140625,289.8034439086914
21,3,416.5736389160156,513.6138305664062
21,2,404.0423583984375,642.1016235351562
21,1,193.7129135131836,738.1793518066406
22,9,999.0457763671875,163.34206008911133
22,8,155.50622940063477,618.2174072265625
22,7,751.7756958007812,820.9167785644531
22,6,1599.9150390625,1003.9520874023438
22,5,1028.3902587890625,182.83536529541016
22,4,654.2266845703125,285.1208038330078
22,3,421.5614471435547,509.33349609375
22,2,400.12738037109375,638.5408325195312
22,1,190.8087615966797,735.743408203125
23,9,1000.6434631347656,163.43219375610352
23,8,157.4174690246582,616.8835144042969
23,7,755.0416870117188,811.0910339355469
23,6,1597.9456787109375,1003.0922546386719
23,5,1029.3990173339844,183.20117950439453
23,4,657.142822265625,282.93223571777344
23,3,428.0643310546875,502.7196960449219
23,2,397.8203887939453,635.868408203125
23,1,188.78082275390625,733.4466247558594
24,9,1000.9326171875,164.896728515625
24,8,171.78524780273438,601.4782104492188
24,7,760.7550354003906,805.1676025390625
24,6,1596.9371337890625,1002.7527770996094
24,5,1030.2535400390625,182.8122787475586
24,4,661.1173095703125,280.37841033935547
24,3,433.6182403564453,496.8614501953125
24,2,395.98284912109375,634.2978515625
24,1,188.5572509765625,730.9552612304688
25,9,1000.7528381347656,166.0693588256836
25,8,175.10025024414062,596.6688842773438
25,7,767.9320373535156,798.0779418945312
25,6,1596.3814086914062,1002.6593017578125
25,5,1031.1077270507812,181.52630615234375
25,4,664.2015380859375,275.9695510864258
25,3,438.92010498046875,492.4389953613281
25,2,391.6813659667969,632.5305786132812
25,1,187.07569885253906,729.3680419921875
26,9,1000.6812744140625,166.40240478515625
26,8,173.15522003173828,589.3648681640625
26,7,772.5665588378906,788.8788757324219
26,6,1595.728271484375,1002.5864868164062
26,5,1032.320068359375,179.28952026367188
26,4,668.2589721679688,271.8280334472656
26,3,443.4916076660156,489.0305938720703
26,2,388.4662628173828,630.0905456542969
26,1,184.44070434570312,726.4579467773438
27,8,171.4994239807129,575.2901611328125
27,7,780.293701171875,781.9361877441406
27,6,1595.345947265625,1002.1455688476562
27,5,1028.8148803710938,176.12466430664062
27,4,672.1353759765625,269.1002883911133
27,3,446.7743225097656,480.837890625
27,2,385.2243957519531,628.255126953125
27,1,181.40261840820312,722.875732421875
28,8,177.67225646972656,568.2246704101562
28,7,784.9318542480469,776.2853698730469
28,6,1595.118896484375,1001.8006896972656
28,5,1031.3902893066406,174.65341186523438
28,4,674.8480529785156,266.9836120605469
28,3,451.108154296875,475.1401062011719
28,2,378.74098205566406,624.791748046875
28,1,179.36073303222656,717.0065612792969
29,8,185.20276260375977,563.2705078125
29,7,790.9336853027344,767.4063720703125
29,6,1594.6763916015625,1001.5120239257812
29,5,1036.5878295898438,174.91598510742188
29,4,676.21533203125,261.89208984375
29,3,456.73358154296875,470.5454406738281
29,2,374.6805419921875,619.7694396972656
29,1,176.85772705078125,712.4737243652344
30,9,1006.9602966308594,167.20753479003906
30,8,203.46072387695312,545.9133911132812
30,7,795.8358459472656,761.7693176269531
30,6,1594.2952880859375,1001.0410461425781
30,5,1037.08984375,174.2270050048828
30,4,680.7097778320312,260.83361053466797
30,3,458.912841796875,466.9340515136719
30,2,371.3926086425781,617.9962158203125
30,1,173.3246612548828,709.1575927734375
31,9,1007.46533203125,169.10028076171875
31,8,217.24322509765625,543.4273529052734
31,7,803.0534362792969,758.0177917480469
31,6,1594.1568603515625,1000.4174194335938
31,5,1036.9840698242188,173.46446228027344
31,4,683.087646484375,256.45426177978516
31,3,462.683349609375,460.9206848144531
31,2,367.2940368652344,616.119140625
31,1,171.45236206054688,705.0339965820312
32,9,1007.3255004882812,168.14490509033203
32,8,226.9635772705078,533.7220306396484
32,7,809.2629699707031,753.9052734375
32,6,1593.666259765625,999.6220092773438
32,5,1037.8656005859375,172.39952087402344
32,4,686.7001037597656,254.47789764404297
32,3,466.18414306640625,453.4211730957031
32,2,361.6575622558594,613.707763671875
32,1,169.058349609375,703.0120239257812
33,7,815.4580078125,747.3360900878906
33,6,1593.4319458007812,998.9477844238281
33,5,1031.8214721679688,170.8194808959961
33,4,688.5982360839844,249.68348693847656
33,3,468.14430236816406,450.12355041503906
33,2,354.35235595703125,611.5505676269531
33,1,168.77408599853516,699.6737365722656
34,7,819.5422668457031,738.7781066894531
34,6,1593.1166381835938,998.4429626464844
34,5,1032.283447265625,174.52690887451172
34,4,693.0863342285156,246.876708984375
34,3,470.3395538330078,446.03240966796875
34,2,347.6253204345703,609.7279968261719
34,1,168.54237365722656,693.6285095214844
35,7,824.5442504882812,734.4030151367188
35,6,1592.739501953125,998.0789489746094
35,5,1033.5972290039062,173.46583557128906
35,4,695.8603210449219,246.1867218017578
35,3,472.9032287597656,443.1177062988281
35,2,340.4222717285156,607.85595703125
35,1,169.41455078125,689.6022338867188
36,7,831.6988220214844,728.0344848632812
36,6,1592.5134887695312,997.78662109375
36,5,1034.1483764648438,172.9364471435547
36,4,700.324951171875,240.63379669189453
36,3,476.88446044921875,438.0328674316406
36,2,334.38270568847656,604.3115234375
36,1,170.62850189208984,686.4150390625
37,7,837.9393615722656,719.1068115234375
37,6,1592.120361328125,997.9231872558594
37,5,1035.2960815429688,170.3108367919922
37,4,702.2269287109375,237.50355529785156
37,3,481.16400146484375,434.1534118652344
37,2,329.7257995605469,602.5597839355469
37,1,172.15601348876953,680.4083862304688
38,7,840.1548767089844,711.8643188476562
38,6,1591.8427734375,997.7073059082031
38,5,1036.5491027832031,170.5792007446289
38,4,705.9416198730469,236.8275146484375
38,3,483.9134216308594,428.4034118652344
38,2,324.5323791503906,599.6054992675781
38,1,173.7980499267578,676.1824951171875
39,8,296.9868621826172,479.15594482421875
39,7,842.7581176757812,706.7421875
39,6,1591.235595703125,997.8081359863281
39,5,1039.0382080078125,170.16197204589844
39,4,708.8988647460938,234.0650634765625
39,3,488.32635498046875,423.43341064453125
39,2,320.0146942138672,598.0991821289062
39,1,175.4655303955078,669.3504638671875
40,8,302.4871368408203,470.1918640136719
40,7,847.9660034179688,695.7157287597656
40,6,1590.623291015625,997.7798767089844
40,5,1041.5417785644531,169.90038299560547
40,4,713.6592407226562,230.89366912841797
40,3,492.2987976074219,420.2685546875
40,2,317.4041290283203,595.985595703125
40,1,178.9888458251953,662.7442321777344
41,8,309.76495361328125,465.19793701171875
41,7,852.0951232910156,690.3332214355469
41,6,1590.2514038085938,997.8898315429688
41,5,1043.6914978027344,168.5849838256836
41,4,715.7974853515625,227.03514099121094
41,3,499.5288391113281,410.37550354003906
41,2,316.46026611328125,592.8572387695312
41,1,180.65731811523438,655.8966979980469
42,8,315.7317352294922,460.8182373046875
42,7,856.7594604492188,683.6694946289062
42,6,1590.8668212890625,998.161376953125
42,5,1045.53369140625,169.3981475830078
42,4,718.6763305664062,224.88594818115234
42,3,506.05865478515625,411.68206787109375
42,2,315.0736389160156,589.413330078125
42,1,183.32576751708984,650.076416015625
43,8,325.6421203613281,458.3106994628906
43,7,858.4872436523438,677.0184326171875
43,6,1590.3409423828125,998.4820861816406
43,5,1046.7293701171875,167.47265625
43,4,720.8551025390625,222.3106231689453
43,3,512.5254974365234,404.75018310546875
43,2,314.01625061035156,586.7744750976562
43,1,189.9525604248047,644.5503845214844
44,8,332.79151916503906,449.0790710449219
44,7,861.2144165039062,667.8668518066406
44,6,1590.5465698242188,998.6764526367188
44,5,1048.2348327636719,167.02285766601562
44,4,723.8124389648438,220.58706665039062
44,3,518.5057983398438,400.3570861816406
44,2,314.1038818359375,585.2625122070312
44,1,192.52267456054688,637.5884094238281
45,8,341.7738952636719,440.9768371582031
45,7,866.0220336914062,664.0042419433594
45,6,1590.1402587890625,999.1742858886719
45,5,1049.8339538574219,166.99523162841797
45,4,726.3833618164062,214.67144012451172
45,3,523.8209838867188,396.3789367675781
45,2,314.4012451171875,581.4426879882812
45,1,194.03509521484375,634.18701171875
46,8,348.26251220703125,433.3371276855469
46,7,869.7639770507812,660.0739135742188
46,6,1589.6260986328125,999.8448486328125
46,5,1051.6186218261719,167.1763153076172
46,4,729.19189453125,213.94320678710938
46,3,529.7187957763672,390.5202941894531
46,2,315.33009338378906,576.4985961914062
46,1,197.3888931274414,624.8732299804688
47,8,355.79681396484375,424.3514099121094
47,7,873.8351440429688,655.5705871582031
47,6,1587.5050048828125,1000.5390319824219
47,5,1053.9075622558594,164.69084930419922
47,4,732.298095703125,210.55975341796875
47,3,535.1531524658203,384.5296173095703
47,2,315.9440002441406,572.9948425292969
47,1,200.34194946289062,620.2621459960938
48,8,364.30674743652344,416.3108825683594
48,7,877.4309692382812,651.0448913574219
48,6,1586.5521240234375,1001.3180847167969
48,5,1055.8389282226562,164.53390502929688
48,4,735.3489685058594,209.567138671875
48,3,538.7159881591797,379.1673889160156
48,2,317.4192810058594,567.1197509765625
48,1,204.74285888671875,614.2388305664062
49,8,375.0563201904297,412.86285400390625
49,7,878.2944030761719,643.3178100585938
49,6,1585.3505859375,1002.0884399414062
49,5,1058.6237182617188,163.82415390014648
49,4,738.0830383300781,206.1020965576172
49,3,544.7703399658203,374.0478973388672
49,2,324.147705078125,562.0663146972656
49,1,209.66390991210938,608.98828125
50,8,371.6728515625,401.9501495361328
50,7,882.2289428710938,638.8342895507812
50,6,1582.5498046875,1003.1513671875
50,5,1060.0909423828125,163.84762954711914
