epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.4384,1.10924,1.20685,1.18883,0.74406,0.82512,0.85,0.58747,1.03096,0.80229,1.12771,0.000301557,0.000301557,0.000301557
2,101.497,1.0627,0.80457,1.16716,0.76862,0.82258,0.82513,0.56841,1.05568,0.80282,1.13228,0.000598572,0.000598572,0.000598572
3,149.212,1.05502,0.78437,1.16689,0.81526,0.79756,0.84421,0.58734,1.0331,0.77774,1.13373,0.000889588,0.000889588,0.000889588
4,196.642,1.04433,0.75066,1.16077,0.83639,0.8552,0.86707,0.61945,0.99813,0.65981,1.11808,0.000882003,0.000882003,0.000882003
5,244.762,1.01997,0.7154,1.14845,0.81177,0.87233,0.87951,0.62771,0.99587,0.64595,1.10581,0.000873004,0.000873004,0.000873004
